Rainmm,WindSpeedkmPerH,TemperatureDegreeCelcius,CloudCoverPercentage,Snowfallcm
0,21.2,-3.8,99,0.28
0,18.8,-4.2,97,0.14
0,18.9,-4.4,100,0.07
0,20.4,-4,100,0.07
0,23.1,-4.2,100,0.14
0,22,-4.4,100,0.21
0,17,-4.8,100,0.84
0,16.5,-4.8,100,0
0,15.5,-4.8,100,0
0,16.5,-4.3,100,0
0,16.3,-3.9,100,0
0,18,-3.5,100,0.07
0,17.4,-3,100,0.07
0,17.8,-2.7,100,0.07
0,16.3,-2.8,100,0.07
0,13.4,-3.3,100,0.07
0,13.5,-4,71,0.14
0,12.8,-4.9,55,0.07
0,14.2,-5.4,76,0
0,13.6,-5.8,60,0
0,13.1,-6.2,35,0
0,10.9,-7.2,18,0
0,10.1,-7.8,47,0
0,11.6,-8.1,58,0
0,10.7,-8.2,53,0
0,13.7,-8.1,99,0
0,16.2,-7.9,90,0
0,16.5,-7.9,100,0
0,17.7,-8,100,0
0,19.1,-7.8,100,0
0,19.5,-7.5,100,0
0,18.7,-6.9,100,0
0,18.3,-6.6,100,0
0,17.9,-6,100,0
0,17.8,-4.9,100,0
0,15.6,-3.7,100,0
0,13.3,-3.2,100,0
0,12.6,-3.1,100,0
0,11.4,-2.2,100,0.21
0,8,-2,100,0.42
0,5.6,-2,100,0.7
0,3.7,-2,100,0.84
0,3.4,-2.2,100,0.84
0,5.6,-2.4,100,0.63
0,7.9,-2.7,100,0.28
0,8.7,-2.8,100,0.35
0,6.7,-3.3,100,0.14
0,9.8,-3.8,100,0.14
0,10.2,-4.2,100,0.07
0,8,-4.2,100,0
0,6.9,-4.7,100,0
0,7.9,-5.1,100,0.07
0,8.4,-4.9,100,0.07
0,7.9,-4.9,100,0.14
0,9,-4.8,100,0.21
0,8.4,-4.7,100,0.14
0,8.4,-4.3,100,0.14
0,8.9,-3.8,100,0.07
0,9.4,-3.5,100,0
0,9.7,-3.4,100,0
0,8.7,-3.2,100,0
0,12.7,-2.9,99,0
0,13.4,-2.7,96,0
0,10.6,-3.3,94,0
0,11,-4.1,71,0
0,9.7,-4.4,92,0
0,11.6,-4.4,99,0
0,12.3,-4.6,100,0
0,11.6,-4.7,100,0
0,7.6,-5.4,100,0
0,8,-8.2,100,0
0,5.1,-7,93,0
0,5.5,-9.4,88,0
0,6.3,-9.1,94,0
0,6.6,-9.6,100,0
0,9,-10.6,100,0
0,10.9,-11.1,99,0
0,11.6,-11.4,99,0
0,6.8,-8.3,81,0.07
0,7,-9.2,87,0
0,5.8,-8.6,100,0
0,7.6,-6.6,100,0
0,8.2,-5.5,100,0
0,11.9,-4,94,0
0,14.5,-3.2,91,0
0,14.5,-3.5,99,0
0,13.9,-3.2,91,0
0,11.8,-3.7,85,0
0,12.8,-4.5,54,0
0,13.2,-4.9,95,0
0,14.3,-4.8,99,0
0,15.5,-5,99,0
0,14.8,-5.4,100,0
0,14.6,-5.6,99,0
0,14.9,-5.8,99,0
0,15.3,-5.8,99,0
0,14.3,-6,98,0
0,16.8,-4.8,100,0
0,17.4,-4.6,100,0
0,16.9,-4.7,100,0
0,16.7,-4.8,100,0
0,16.6,-5.1,100,0
0,15.9,-5.7,100,0
0,14.3,-6.2,100,0
0,12.9,-6.2,100,0
0,13.6,-5.4,94,0
0,11.9,-4.8,88,0
0,11.9,-4.2,88,0
0,13.5,-3.2,91,0
0,15,-2.8,100,0
0,14.5,-2.8,100,0
0,9.9,-3.7,44,0
0,6.9,-5.6,42,0
0,6.9,-7,86,0
0,7,-7.6,20,0
0,7.3,-8.3,100,0
0,8.9,-7.2,96,0
0,11,-6.7,99,0
0,12.4,-6.3,100,0
0,13.7,-5.5,97,0
0,15.3,-4.5,100,0
0,16.3,-4.7,97,0
0,18.7,-4.5,99,0
0,20.5,-4.3,100,0
0,21.5,-4.1,100,0
0,22.8,-3.2,100,0
0,23.1,-4,100,0
0,25.6,-3.5,100,0
0,25.5,-3.5,100,0
0,25.4,-3.2,100,0
0,24.9,-2.7,100,0
0,27.4,-2.1,100,0
0,24.2,-1.5,20,0
0,22.3,-2.2,100,0
0,22.9,-1.5,100,0
0,21.7,-1.1,100,0
0,22,-1.2,100,0
0,23.2,-1.2,100,0
0,23.1,-1,100,0
0,22.8,-0.8,95,0
0,23.3,-0.3,100,0
0,24.2,0.4,100,0
0,25.9,1.1,100,0
0,27.8,1.6,100,0
0,29.4,1.6,100,0
0,31.1,1.7,100,0
0,30.9,1.9,100,0
0,33.5,2.3,100,0
0,33.1,2.6,100,0
0,29.9,3,100,0
0,31.2,3.2,100,0
2.5,30.8,3.2,100,0.21
0.3,30.8,3.8,100,0
0.2,32.1,4.3,100,0
0,31.7,4.8,100,0
0,30.7,4.8,100,0
0,31.3,4.9,100,0
0,28.1,4.8,100,0
0.5,25.5,4.3,100,0
0.8,26.5,4.2,100,0
0.4,19.8,4,93,0
0.3,21.3,3.2,68,0
0.3,20.3,2.6,84,0
0.3,20.2,2.2,98,0
0.8,21.1,1.5,100,0.35
0.7,21.5,1.5,97,1.33
0.5,20.8,0.8,97,2.59
0.4,21.8,1,95,2.03
0.5,22.4,1.4,95,1.54
0.1,19.1,0.4,100,0.77
0.1,18.9,0.6,100,2.03
0,20.8,1,100,0
0,20.8,0.9,92,0
0,20.5,0.6,100,0
0,20.5,0.6,93,0.14
0,19.3,0.6,97,0
0,19.5,0.9,100,0
0,20.4,1.2,100,0
0.1,20,1.5,100,0
0.1,17.7,1.6,98,0
0.1,21,1.9,100,0
0.2,18.7,2.2,89,0
0.2,19.7,2.3,96,0
0.1,18.7,2,100,0
0,19.3,2,100,0
0,19.4,1.8,100,0
0,20,1.8,100,0
0.1,22.9,2,100,0
0.7,24.3,2.2,100,0
1,24.4,2.4,100,0
1.8,24.4,2.8,100,0
0.9,25.6,3.3,100,0
0.5,27.4,4.1,100,0
0.8,27.6,4.3,100,0
0.7,27.5,5.1,100,0
0.5,29.1,5.9,100,0
1.4,31.4,6.7,100,0
1.1,33.7,7.4,100,0
0.1,37.3,8.4,62,0
2,38.1,7.6,93,0
0.7,35.7,6.3,77,0
0.7,35,5.6,84,0
0.8,34.9,5.4,43,0
0.8,37.4,5.8,52,0
0.1,39.6,5.8,58,0
0.6,38.5,5.8,50,0
0.8,36,5.2,100,0
0.5,35,4.4,100,0
0.8,30.7,4.2,100,0
1.1,30.6,4,100,0
1.9,29.6,3.8,97,0
1.5,26.4,3.4,76,0
1,24.5,2.9,82,0
1,21.2,2.5,69,0
0.4,21.2,2.1,80,0
0,21.2,2,91,0
0,22.3,2,92,0
0,21.4,3,100,0
0.1,21.2,2.9,100,0
0.1,21.7,2.7,100,0
0,22.2,2.5,95,0
0,22.5,2,100,0
0,21.4,1.8,100,0
0,20.4,1.7,100,0
0,18.8,1.7,100,0
0,19.1,1.9,100,0
0,18,2.1,100,0
0,18.4,2.5,100,0
0,19.6,2.8,100,0
0,19.1,3.5,100,0
0,17,3.3,90,0
0,14.5,2.8,98,0
0,12.8,2,90,0
0,8.7,1.1,55,0
0,10.1,-1,36,0
0,8.7,-1.1,100,0
0,5.1,1.5,100,0
0,5.1,0.9,100,0
0,5.8,1.4,94,0
0,5.8,1.6,92,0
0,7.9,2.1,99,0
0,9.4,2.2,100,0
0,8.4,2.3,100,0
0,10,2.8,100,0
0.4,11.2,3,100,0
0.4,12.6,3.2,100,0
0,14.9,4,100,0
0,16.7,4.4,100,0
0,19.6,4.8,100,0
0,21.3,4.9,100,0
0.9,21.9,5.2,100,0
1.7,22.9,5.6,100,0
1.5,22.4,5.9,100,0
0.6,27.4,7.4,100,0
1.4,30.1,5.7,85,0
0.1,26.9,3.6,65,0
0.6,26.4,2.6,79,0.14
0.3,26.3,2,100,0
0.3,22.5,1.8,85,0
0,21.1,1.1,73,0
0,19.9,0.8,83,0
0,19.8,0.4,89,0
0,19.7,0.2,91,0
0,19.9,-0.1,94,0
0,18.1,-0.2,100,0
0,18.1,-0.2,89,0
0,17.9,-0.3,100,0
0,16.8,-0.4,100,0
0,15.4,-0.4,100,0
0,13.5,-0.5,100,0
0,11.9,-0.6,97,0
0,9.1,-0.7,96,0
0,7.7,-0.9,100,0
0,8.9,-0.5,99,0
0,8.6,0.2,96,0
0,9.8,1.5,43,0
0,11.6,2.6,15,0
0,14.8,3.5,0,0
0,15.1,3.5,0,0
0,12.2,2.8,0,0
0,6.8,0.2,0,0
0,10.4,-1.8,0,0
0,8.8,-0.1,0,0
0,7.9,1.4,0,0
0,6.5,0.2,0,0
0,7.3,-2.2,0,0
0,6.3,-1.5,10,0
0,6.8,-1.5,9,0
0,8.1,-0.9,12,0
0,11.8,-0.4,33,0
0,12.1,-0.4,18,0
0,12.2,-0.4,100,0
0,12.6,-0.4,99,0
0,12.8,-0.1,100,0
0,13.9,0.4,96,0
0,14.9,0.7,16,0
0,17.7,1.8,6,0
0,18,3.4,13,0
0,17.2,4.8,0,0
0,17.6,5.7,0,0
0,17.4,6.4,0,0
0,18.6,7.4,0,0
0,18.9,6.8,11,0
0,18.2,5.5,18,0
0,18.9,4.4,10,0
0,19.7,4.8,7,0
0,19.7,4.9,16,0
0,20,5.1,5,0
0,19.9,5.2,0,0
0,20.2,4.9,0,0
0,20.5,4.8,0,0
0,20.8,4.8,0,0
0,21.4,4.4,0,0
0,21.3,4.6,2,0
0,21.7,4.7,8,0
0,21.8,4.3,55,0
0,21.2,4.1,100,0
0,20.3,4,95,0
0,19.4,3.8,97,0
0,18.5,3.5,98,0
0,18.1,3.5,73,0
0,16.6,4.2,73,0
0,15.4,5.1,66,0
0,14.9,5.8,99,0
0,13.8,6.7,96,0
0,14.1,7.4,100,0
0,12.6,7.1,100,0
0,11.9,6.2,100,0
0,10.5,4.9,100,0
0,12,4.7,100,0
0,12.4,4.4,100,0
0,11.8,4.1,100,0
0,10.7,3.5,100,0
0,10.3,3.4,99,0
0,11.7,3.2,99,0
0,11.8,3.2,97,0
0,12.5,3.3,94,0
0,11.3,3.9,55,0
0,11.8,3.8,39,0
0,13.4,3.5,50,0
0,14.6,3.2,94,0
0,14.3,3.2,99,0
0,13.8,3.2,100,0
0,13.8,3,99,0
0,14.5,3.5,100,0
0,15.3,4.6,100,0
0,15.2,5.3,100,0
0,13.7,5.9,100,0
0,12.6,6.6,100,0
0,13.7,6.9,100,0
0,12,6.7,100,0
0,11.6,6.5,100,0
0,11.2,5.8,100,0
0,13.3,5.3,100,0
0,14.5,5.2,100,0
0,16.1,5.1,100,0
0,16.8,4.9,100,0
0.1,18.7,4.4,100,0
0.1,17.8,4.1,78,0
0,16.1,3.2,100,0
0.1,15.5,3.2,100,0
0.4,16.6,4.2,100,0
0.3,19.2,3.8,100,0
0.1,18.8,3.2,100,0
0.2,18.9,2.8,100,0
0.2,17,2.2,100,0
0.1,15.5,1.9,100,0
0.1,14.8,1.5,100,0
0,13.7,1.5,100,0
0,13.5,1.9,100,0
0,14.1,2,100,0
0,14.6,2.5,100,0
0,14.4,2.7,100,0
0,17.3,2.2,87,0
0,17.7,2.3,85,0
0,19.9,2.2,91,0
0,17.3,2.1,87,0
0,21.5,2,55,0
0,21.9,1.4,58,0
0,21.9,1.1,54,0
0,21.6,0.4,100,0
0,20.5,0.1,100,0
0,20.6,-0.2,100,0
0,19.9,-0.5,96,0
0,18.9,0.1,100,0
0.2,18.2,1.1,100,0
0.6,17.6,1.3,100,0.21
1.2,18,1.9,100,0.28
1,15.9,2.5,100,0
0.6,18,3,100,0
0.4,18.1,3.4,100,0
0.2,17.7,3.5,100,0
0.1,20.4,3.7,100,0
0.1,19.5,3,76,0
0.1,19.6,3.2,49,0
0,21.3,3.5,74,0
0,21.9,3.6,86,0
0,22.1,3.9,75,0
0,23.7,3.6,100,0
0.1,20.1,3,100,0
0.1,17.2,2.7,80,0
0,15.2,1.5,87,0
0.2,14.6,1,55,0
0.1,13.8,0.6,90,0.07
0,14.8,0.6,91,0
0,14.8,0.6,98,0
0,14.4,0.6,100,0
0,13.4,0.6,100,0
0,12.9,0.6,100,0
0,12.4,0.4,100,0
0,12.3,0.6,100,0
0,12.1,0.8,100,0
0,12,0.8,100,0
0.1,14.5,0.8,100,0
0.1,16.6,0.8,100,0
0,16.1,0.8,100,0
0,18.8,1,100,0
0,19.1,1.8,100,0
0,19.6,2,100,0
0,15.7,2.5,100,0
0,16.8,3.2,100,0
0,17.4,3.7,100,0
0,18.1,4.3,100,0
0,21.1,4.7,100,0
0,22.5,4.1,100,0
0,24.2,3.8,100,0
0.1,24,3.8,100,0
0.1,24.2,4,100,0
0.1,24.1,4.2,100,0
0.3,23.5,4.4,100,0
0.3,22.8,4.7,100,0
0.3,24.1,4.8,100,0
0.3,23.7,5,100,0
0.3,24.6,4.9,100,0
0.2,23.9,4.9,100,0
0.2,22.5,4.9,100,0
0.2,21.2,4.8,100,0
0.3,21.8,4.8,100,0
0.1,24.1,4.8,100,0
0.1,23.8,4.8,100,0
0.2,23.1,4.9,100,0
0.2,24,5.1,100,0
0.1,23.1,5.3,100,0
0.4,22.4,5.6,100,0
0.4,26.4,5.9,100,0
0.4,22.1,6.1,100,0
0.2,21.5,6.2,100,0
0.3,24.6,6.2,100,0
0.2,21.9,6.1,100,0
0.5,24.4,5.8,100,0
0.6,21.3,5.6,100,0
0.8,23.8,5.4,100,0
0.5,19.6,5.3,100,0
0.6,20.8,5.2,100,0
0.6,23.2,5.2,100,0
0.5,25.8,5.1,96,0
0.8,23.4,4.8,95,0
0.8,24.7,5.5,100,0
0.4,20.7,5.6,100,0
0.4,19.4,5.6,100,0
0.1,19.1,5.8,100,0
0.4,18.8,5.7,100,0
0.2,24.4,5.7,100,0
0.2,25.2,5.1,100,0
0.4,18.5,5.2,100,0
0.5,22.4,5.5,100,0
0.9,22.8,5.5,100,0
1.1,21,5.6,100,0
0.3,23.7,5.8,100,0
0.5,23.8,4.6,100,0
0.2,28.4,5.1,100,0
0.9,23.3,5,100,0
1.7,19.1,4.9,100,0
1.6,24.5,5.2,100,0
0.5,22.3,4.9,100,0
0.7,24.1,5.4,100,0
0.3,27.7,5.9,100,0
1,28,5.8,100,0
1.4,29.5,5.9,100,0
0.6,29.8,6.1,100,0
0.6,30.9,6.3,100,0
1.4,27.8,6.8,100,0
1.1,26.3,6.7,100,0
1.2,24.2,6.4,100,0
1.1,23.1,6.2,100,0
0.8,26.6,6,100,0
0.3,26.3,5.8,100,0
0.2,26.1,5.5,100,0
0.1,25.2,5.2,100,0
0.1,23.3,5.1,100,0
0.1,28.7,5.2,100,0
0.1,31.1,5.4,100,0
0.1,29.3,6,100,0
0.1,32.7,7,91,0
0,33.5,7.6,98,0
0,26.8,7.8,86,0
0,26.5,6.7,87,0
0,25.6,5.7,99,0
0,24.7,4.8,100,0
0.1,24.7,4.4,100,0
0.2,26.9,4,100,0
0.2,25.6,3.7,100,0
0.1,27.1,3.7,100,0
0.1,25.8,3.7,100,0
0.1,26.9,3.8,100,0
0.2,25.4,3.8,100,0
0.1,27.2,3.9,100,0
0.1,26,4,100,0
0.2,26.3,4.1,100,0
0.2,25.8,4.1,100,0
0.3,25.8,4.1,100,0
0.1,27.3,4.2,100,0
0.2,23.3,4.3,100,0
0.3,24.7,4.6,100,0
0.2,28.4,5.3,100,0
0.4,27.9,5.6,100,0
0.8,29.5,6,100,0
0.8,27.4,5.9,100,0
0.4,28.6,5.8,100,0
1,27.7,5.2,100,0
0.1,31.3,5.3,100,0
0.2,29.2,5.2,100,0
0.3,27.6,5.2,100,0
0.1,27.2,5.2,100,0
0.2,28.1,5.3,100,0
0.8,31.2,5.5,100,0
0.8,27.7,5.5,100,0
1.4,25.9,5.5,100,0
1.1,25.6,5.6,100,0
1.2,28,6,100,0
1.8,27.2,6.1,100,0
2.1,25.5,5.8,100,0
4.2,18.8,5.4,100,0
1.4,17.1,0.8,100,0.35
0,14.3,0.2,100,1.12
0,13.4,-0.2,100,0.77
0,11,-0.4,100,0.49
0,12,-0.2,100,0.14
0,13.9,0.3,100,0.07
0,13.7,0.6,100,0.07
0,13.2,0.6,100,0.07
0.1,12.5,0.6,100,0.21
0,9.9,0.8,100,0.14
0,10.9,1,100,0.07
0,5.4,0.4,100,0
0,4.3,0.1,100,0
0,0.5,-0.2,100,0
0,2.4,-0.8,100,0
0,3.6,-0.6,100,0
0,5.2,-0.6,100,0
0,4.8,-1.4,100,0
0,5.5,-2.2,91,0
0,5.7,-2.9,99,0
0,8.1,-1.9,100,0
0,7.4,-1.1,100,0
0,5.4,-1.4,100,0
0,4.7,-1.1,100,0
0,3.7,-1.9,100,0
0,3,-1.3,100,0
0,2.9,-2.8,100,0
0,4,-0.8,100,0
0,4.6,0.8,100,0
